year_month,status,prod_total_volume,california,chile,mexico,peru,colombia,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
2018-04-01,actual,66889496,14568602,0,52320894,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2018-04-01,actual,39158603,8244614,0,30913989,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2018-12-01,actual,55009729,0,3544679,51465050,0,0,2.38,44.8,-3.06,-3.06,-1.68,-3.06,0,-0.48,-0.26,-0.41,-0.58,-0.54,-0.66,0.27,35.7,53.8
2018-09-01,actual,49322205,3042322,5695958,36691752,3892173,0,0.06,71.1,-2.93,-2.93,-1.47,-2.93,171,-1.36,-1.95,-1.24,-0.22,-0.38,-1.07,0.77,56.1,86
2019-12-01,actual,55662831,0,314608,55348222,0,0,4.87,44.5,-0.91,-0.91,0.76,-0.38,0,0.64,0.18,-0.17,-0.16,0.13,1.16,0.38,36.8,52.2
2019-07-01,actual,53521551,7545211,0,31327355,14648985,0,0.08,75.6,-0.11,2.56,-0.32,2.37,247,-0.75,-1.21,1.57,1.57,1.11,0.95,0.02,61.1,90
2019-05-01,actual,53448347,11609804,0,35628132,6210411,0,2.5,58.6,2.76,2.76,3.78,2.76,14,1.91,0.95,0.89,1.17,1.03,0.97,0.04,47,70.3
2019-03-01,actual,57772402,3431234,0,54341168,0,0,4.05,48.9,2.29,2.29,1.23,2.29,1,0.6,1.56,1.37,0.97,0.9,0.87,-0.04,38.6,59.2
2019-02-01,actual,60985301,397103,184891,60355899,47407,0,8.57,40.6,2.1,2.1,5.68,2.1,0,1.71,1.42,1.04,0.85,0.77,1.06,-0.23,32.1,49.2
2018-06-01,actual,49126245,11017628,0,30306824,7801793,0,0.07,71.4,-2.29,-2.29,-0.34,-1.44,138,-1.04,-0.64,0.14,-0.28,-0.95,-0.97,0.75,56.3,86.5
2018-06-01,actual,54230134,9832339,0,39826579,4571216,0,0.07,71.4,-2.29,-2.29,-0.34,-1.44,138,-1.04,-0.64,0.14,-0.28,-0.95,-0.97,0.75,56.3,86.5
2020-08-01,actual,52326427,9553079,0,32109326,10524513,139508,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
2020-03-01,actual,47119478,8249788,0,38869689,0,0,3.19,48,-2.47,-2.47,-0.03,-2.42,0,0.2,-1.13,-1.35,-1.19,-1.2,-0.93,-0.06,37.7,58.2
2020-07-01,actual,59549678,9483748,0,36790367,12992559,283003,0.05,76.7,-1.63,-1.63,-0.91,-1.29,254,-1.17,-1.06,0.19,-0.83,-0.8,-0.99,0,61.3,92
2019-08-01,actual,49712129,3864187,328453,38218699,7300789,0,0.13,76.8,-0.35,2.04,-0.78,1.47,288,-0.42,-0.85,-1.25,0.74,1.1,0.96,0.01,62,91.5
2018-07-01,actual,59868501,13034205,0,37779422,9054874,0,0.22,79.6,-2.41,-2.41,-1.07,-1.9,377,0.55,-0.64,-0.56,-0.17,-0.79,-0.94,0.78,65.1,94
2018-09-01,actual,44091358,3157120,1505218,30089700,9339320,0,0.06,71.1,-2.93,-2.93,-1.47,-2.93,171,-1.36,-1.95,-1.24,-0.22,-0.38,-1.07,0.77,56.1,86
2020-06-01,actual,67186115,15228590,0,35035819,16687516,234188,0.15,70.5,-1.48,-1.48,0.06,-0.83,132,-0.56,0.36,0.46,-1.05,-0.97,-0.98,0.02,56.1,84.8
2019-10-01,actual,52027810,170248,2304294,49553268,0,0,0.16,58.8,-0.82,1.11,-1.99,-0.17,39,-1.4,-0.88,-0.98,0.3,1.35,0.97,0,44.2,73.3
