year_month,status,prod_total_volume,california,chile,mexico,peru,colombia,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
2018-09-01,actual,51398671,3782736,6299540,35153392,6163003,0,0.06,71.1,-2.93,-2.93,-1.47,-2.93,171,-1.36,-1.95,-1.24,-0.22,-0.38,-1.07,0.77,56.1,86
2019-02-01,actual,39391270,129957,497035,38764278,0,0,8.57,40.6,2.1,2.1,5.68,2.1,0,1.71,1.42,1.04,0.85,0.77,1.06,-0.23,32.1,49.2
2019-08-01,actual,39624707,5407640,94816,22270321,11851930,0,0.13,76.8,-0.35,2.04,-0.78,1.47,288,-0.42,-0.85,-1.25,0.74,1.1,0.96,0.01,62,91.5
2018-07-01,actual,52741471,13081786,0,27618124,12041561,0,0.22,79.6,-2.41,-2.41,-1.07,-1.9,377,0.55,-0.64,-0.56,-0.17,-0.79,-0.94,0.78,65.1,94
2020-04-01,actual,65731766,15741055,0,49706264,284446,0,1.98,56.6,-2.16,-2.16,0.17,-1.97,14,0.51,0.34,-0.87,-0.82,-1.01,-0.72,-0.07,44.6,68.6
2018-03-01,actual,51922869,4143387,0,47779482,0,0,5.12,49,-3.05,-3.05,1.99,-2.23,1,1.03,-0.22,-0.31,-1.05,-1.07,-0.9,0.71,38.2,59.7
2019-09-01,actual,56281822,611955,3235736,52434131,0,0,0.61,68.9,-0.17,1.97,0.43,1.53,157,0.74,0.42,0.18,0.74,1.4,1.03,0.03,55.3,82.5
2019-06-01,actual,48758242,9115908,0,29686713,9955620,0,0.09,71.2,2.98,2.98,1.51,2.98,135,-0.91,1.63,0.76,1.41,1.03,0.97,0.02,57,85.4
2020-08-01,actual,45333672,8693483,0,28246903,8154127,239157,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
2019-04-01,actual,71757754,11103220,0,60654534,0,0,1.22,58.2,1.67,1.67,-1.16,1.09,22,-0.19,0.37,1.39,0.96,0.79,0.71,-0.21,46.2,70.3
2020-08-01,actual,54176904,7873941,0,39333180,6874119,95663,0.09,79,-1.9,-1.9,-1.31,-1.9,358,-0.76,-1.52,-1.28,0.26,-0.68,-1,0.01,64.4,93.6
