,date,avg_price,geography,type,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax,year,month
25,2017-01-22,2.03,SanFrancisco,organic,8435.86,9045.98,2.86,2957.23,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
26,2017-01-15,2.09,NewYork,organic,6002.05,18195.1,117.02,17791.92,127.16,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
27,2017-01-29,1.32,Boston,conventional,5792.32,464828.97,6111.1,126000.39,1373.34,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
28,2017-01-22,1.01,Boise,conventional,34251.49,5626.82,8313.98,34932.06,5155.3,38.08,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
29,2017-01-22,0.84,Atlanta,conventional,320378.0,135920.57,179.13,177899.15,121095.24,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
30,2017-01-02,1.11,StLouis,conventional,90181.75,10226.35,212.85,39615.42,4087.33,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
31,2017-01-02,2.44,Hartford/Springfield,organic,152.32,7697.1,12.35,3947.64,167.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
32,2017-01-29,0.94,Louisville,conventional,2082.57,55703.27,217.7,17307.09,40985.94,13.33,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
33,2017-01-22,1.28,Spokane,organic,99.78,928.56,0.0,63.35,2658.53,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
34,2017-01-08,1.28,Charlotte,conventional,56739.54,80201.7,10231.86,63539.28,8626.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
35,2017-01-22,1.42,Baltimore/Washington,conventional,81908.85,528125.52,22836.9,187903.12,5693.97,473.57,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
36,2017-01-22,1.34,LasVegas,organic,1117.76,3189.79,0.0,5992.65,12.55,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
37,2017-01-29,1.61,Buffalo/Rochester,organic,2.44,347.33,0.0,1829.7,169.3,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
38,2017-01-15,1.31,Indianapolis,organic,168.82,1536.1,0.0,1279.52,1037.1,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
39,2017-01-15,1.29,GrandRapids,conventional,935.22,107348.7,2863.54,49537.11,5423.0,50.86,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
40,2017-01-15,1.2,Sacramento,conventional,147645.88,275717.97,670.73,42762.25,2404.85,230.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
41,2017-01-29,1.39,Jacksonville,organic,238.27,58.03,16.05,432.22,2864.22,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
42,2017-01-29,2.43,Hartford/Springfield,organic,96.15,3494.43,9.62,5602.31,209.86,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
43,2017-01-02,0.88,GreatLakes,conventional,636277.7,2157249.6,189356.95,885769.21,349032.8,7559.14,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
44,2017-01-22,1.03,Denver,conventional,149313.21,268029.66,13355.19,326361.97,149643.69,134.68,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
45,2017-01-15,1.29,Buffalo/Rochester,conventional,2011.96,68322.14,53.84,96319.5,1523.11,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
46,2017-01-15,1.45,SouthCarolina,organic,344.06,3697.15,253.5,4430.4,967.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
47,2017-01-15,1.37,Charlotte,conventional,39546.13,84479.17,9918.56,52626.61,10327.38,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
48,2017-01-22,1.89,Sacramento,organic,1800.88,3930.91,0.0,283.89,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
49,2017-01-22,1.5,Buffalo/Rochester,organic,8.54,139.02,0.0,2440.12,2.71,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
50,2017-01-22,1.52,GrandRapids,organic,65.96,2010.96,0.0,616.67,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
51,2017-01-29,0.58,Phoenix/Tucson,conventional,799387.73,246921.02,16440.78,114964.92,202520.2,286.11,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
52,2017-01-22,2.44,Hartford/Springfield,organic,101.61,3410.7,9.61,6038.97,22.88,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
53,2017-01-08,1.19,NorthernNewEngland,conventional,13448.46,348811.57,5517.5,57223.18,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
54,2017-01-08,0.92,Denver,conventional,169103.67,249167.67,16470.81,247424.23,162523.58,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
55,2017-01-15,1.3,Boston,conventional,5430.5,457448.44,8522.37,106091.75,483.59,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
56,2017-01-08,1.95,Boston,organic,8.39,1134.04,0.0,15137.23,1275.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
57,2017-01-02,2.06,Boston,organic,14.8,2181.53,0.0,10636.25,605.64,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
