year_month,geography,segment,variety,timeframe,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance
2019-01-01,California,avocados,hass,last 04 wks,1,2019-01-06,24643875.85,29370491.67,0.19,29413687.49,31421462.15,0.07,1.1935495729999999,1.069830989,-0.1
2019-01-01,GreatLakes,avocados,hass,last 04 wks,1,2019-01-06,17398324.82,19014870.07,0.09,20399196.67,19467894.65,-0.05,1.172480505,1.023824753,-0.13
2019-01-01,Midsouth,avocados,hass,last 04 wks,1,2019-01-06,15387766.69,17984940.39,0.17,18584830.24,19227934.33,0.04,1.207766573,1.0691130420000001,-0.12
2019-01-01,Northeast,avocados,hass,last 04 wks,1,2019-01-06,21181739.7,24394834.55,0.15,28201009.92,30086378.99,0.07,1.331383084,1.233309409,-0.07
2019-01-01,Plains,avocados,hass,last 04 wks,1,2019-01-06,9069072.68,9924781.46,0.09,10427112.67,10515116.45,0.01,1.149744085,1.059480906,-0.08
2019-01-01,SouthCentral,avocados,hass,last 04 wks,1,2019-01-06,27314501.22,32602631.47,0.19,24790104.3,25576245.23,0.03,0.90758034,0.7844840759999999,-0.14
2019-01-01,Southeast,avocados,hass,last 04 wks,1,2019-01-06,18219738.71,24333979.01,0.34,22138972.67,24283644.32,0.1,1.21510923,0.9979315059999999,-0.18
2019-01-01,TotalUS,avocados,hass,last 04 wks,1,2019-01-06,161832078.7,190208128.3,0.18,184317383.7,193790991.3,0.05,1.1389421999999998,1.01883654,-0.11
2019-01-01,West,avocados,hass,last 04 wks,1,2019-01-06,28617058.77,32581599.78,0.14,30362469.6,33212314.95,0.09,1.060991971,1.019358017,-0.04
2019-01-01,Albany,avocados,hass,last 04 wks,1,2019-01-06,441313.06,540678.15,0.23,560090.98,619386.35,0.11,1.269146623,1.14557311,-0.1
2019-01-01,Atlanta,avocados,hass,last 04 wks,1,2019-01-06,2657566.19,3428614.16,0.29,2858548.7,3206436.78,0.12,1.07562653,0.9351990720000001,-0.13
2019-01-01,Baltimore/Washington,avocados,hass,last 04 wks,1,2019-01-06,4030339.16,4115736.28,0.02,5218072.49,5237048.52,0.0,1.294698109,1.2724451140000002,-0.02
2019-01-01,Boise,avocados,hass,last 04 wks,1,2019-01-06,400567.51,466896.93,0.17,484036.99,551569.68,0.14,1.2083780579999999,1.181352124,-0.02
2019-01-01,Boston,avocados,hass,last 04 wks,1,2019-01-06,3132006.25,3176630.66,0.01,3931595.96,4257055.35,0.08,1.255296333,1.3401165590000002,0.07
2019-01-01,Buffalo/Rochester,avocados,hass,last 04 wks,1,2019-01-06,688254.02,856463.71,0.24,885037.94,993071.55,0.12,1.285917574,1.159502193,-0.1
