year_month,geography,segment,variety,timeframe,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance
2017-01,Albany,avocados,hass,last 04 wks,1,2017-01-29,407688.25,414997.59,0.017928748,474096.2,526144.34,0.10978392099999999,1.1628890459999999,1.267825049,0.09023733099999999
2017-02,Albany,avocados,hass,last 04 wks,2,2017-02-26,464174.45,474327.41,0.021873156,484448.36,643283.21,0.32786745300000003,1.04367735,1.356200794,0.29944450100000003
2017-03,Albany,avocados,hass,last 04 wks,3,2017-03-26,412013.41,428197.68,0.03928093,492765.05,536982.97,0.089734286,1.195992747,1.254053899,0.048546408
2017-04,Albany,avocados,hass,last 04 wks,4,2017-04-23,427319.2,388241.62,-0.09144822,496838.57,557034.31,0.121157542,1.162687214,1.434761966,0.23400511300000001
2017-05,Albany,avocados,hass,last 04 wks,5,2017-05-21,502563.73,473973.05,-0.056889660999999994,527758.58,587504.68,0.113207255,1.050132647,1.239531826,0.180357386
2017-06,Albany,avocados,hass,last 04 wks,6,2017-06-18,477173.71,415443.67,-0.12936597,572305.6,624191.9,0.09066187699999999,1.199365321,1.5024706,0.25272139600000004
2017-07,Albany,avocados,hass,last 04 wks,7,2017-07-16,481775.54,413702.81,-0.141295529,549677.29,577960.35,0.051453936,1.1409406340000001,1.39704236,0.224465427
2017-08,Albany,avocados,hass,last 04 wks,8,2017-08-13,444113.65,417671.3,-0.059539602000000004,555035.69,572604.86,0.031654127000000004,1.249760484,1.370946148,0.096967112
2017-09,Albany,avocados,hass,last 04 wks,9,2017-09-10,430717.35,347638.75,-0.19288426600000003,538470.81,525601.1,-0.023900478,1.250172091,1.511917472,0.20936748100000002
2017-10,Albany,avocados,hass,last 04 wks,10,2017-10-08,363828.58,309351.58,-0.149732602,464606.49,492890.59,0.06087754,1.276992835,1.59330232,0.247698715
2017-11,Albany,avocados,hass,last 04 wks,11,2017-11-05,286046.95,296886.48,0.037894234,399689.44,478452.4,0.197060398,1.397286145,1.611566818,0.15335489800000002
2017-12,Albany,avocados,hass,last 04 wks,12,2017-12-03,314630.17,419403.47,0.333004619,435269.82,492424.75,0.131309196,1.383433191,1.174107477,-0.15130887099999998
2017-12,Albany,avocados,hass,last 04 wks,13,2017-12-31,352292.52,365907.97,0.038648138,438910.27,516383.34,0.17651232,1.245868831,1.4112382959999998,0.13273425
2017-01,Atlanta,avocados,hass,last 04 wks,1,2017-01-29,2007124.88,2254676.72,0.123336541,2053575.96,2477949.24,0.20665088,1.0231430940000001,1.099026401,0.07416685599999999
2017-02,Atlanta,avocados,hass,last 04 wks,2,2017-02-26,2136779.01,2542054.13,0.18966637100000003,2039308.87,2408064.44,0.180823795,0.9543845479999999,0.94729078,-0.007432819
2017-03,Atlanta,avocados,hass,last 04 wks,3,2017-03-26,2038536.8,1746614.74,-0.14320176099999998,2080130.39,2462350.38,0.183748092,1.0204036490000001,1.409784495,0.38159491700000003
2017-04,Atlanta,avocados,hass,last 04 wks,4,2017-04-23,2070090.8,1851796.79,-0.105451418,2045881.15,2626175.21,0.283640162,0.98830503,1.4181767809999999,0.434958578
2017-05,Atlanta,avocados,hass,last 04 wks,5,2017-05-21,2462693.77,2277055.68,-0.075380095,2251281.73,3028288.17,0.345139584,0.91415415,1.329913975,0.454802754
2017-06,Atlanta,avocados,hass,last 04 wks,6,2017-06-18,2585281.83,2135084.61,-0.174138546,2257798.4,2892568.22,0.281145482,0.873327764,1.3547791999999999,0.551283786
2017-07,Atlanta,avocados,hass,last 04 wks,7,2017-07-16,2221727.17,2088769.99,-0.059844062999999996,2218985.93,2752210.54,0.240301032,0.998766167,1.317622598,0.31925033199999997
2017-08,Atlanta,avocados,hass,last 04 wks,8,2017-08-13,2076303.0,2119553.69,0.020830625,2302594.02,2849448.7,0.23749504899999999,1.108987474,1.3443625959999999,0.212243264
2017-09,Atlanta,avocados,hass,last 04 wks,9,2017-09-10,2154355.73,1942931.14,-0.09813819800000001,2289540.7,2980728.81,0.301889418,1.062749604,1.5341402219999998,0.443557556
2017-10,Atlanta,avocados,hass,last 04 wks,10,2017-10-08,1661742.46,1714352.41,0.031659509,2332893.1,2741457.54,0.17513208800000002,1.4038836680000002,1.59912135,0.139069701
2017-11,Atlanta,avocados,hass,last 04 wks,11,2017-11-05,1489543.97,1955468.43,0.312796715,2214385.98,2661602.43,0.20195957399999998,1.486620083,1.361107338,-0.084428258
2017-12,Atlanta,avocados,hass,last 04 wks,12,2017-12-03,1582469.19,1948010.89,0.230994513,2131372.25,2177644.55,0.021710097999999997,1.346864927,1.117881097,-0.170012468
2017-12,Atlanta,avocados,hass,last 04 wks,13,2017-12-31,1704001.57,2177523.25,0.277888054,1932641.47,2218274.79,0.14779426199999998,1.134178221,1.018714629,-0.10180374699999999
2017-01,Baltimore/Washington,avocados,hass,last 04 wks,1,2017-01-29,3589693.52,3580774.31,-0.0024846720000000003,3981610.91,4719902.49,0.18542534600000002,1.10917851,1.318123423,0.188378075
2017-02,Baltimore/Washington,avocados,hass,last 04 wks,2,2017-02-26,3748970.74,3854974.22,0.028275355,4126827.64,4764127.7,0.154428562,1.100789504,1.2358390559999999,0.122684266
2017-03,Baltimore/Washington,avocados,hass,last 04 wks,3,2017-03-26,3563258.3,3380052.91,-0.05141513,4029767.75,4932859.98,0.22410528,1.130922153,1.4594031840000001,0.290454148
2017-04,Baltimore/Washington,avocados,hass,last 04 wks,4,2017-04-23,3726097.83,3255836.7,-0.126207403,4065590.21,5125856.21,0.260790179,1.091112041,1.574359122,0.442894096
2017-05,Baltimore/Washington,avocados,hass,last 04 wks,5,2017-05-21,4038519.79,3593499.36,-0.110193946,4238115.62,5496730.47,0.29697510899999996,1.049423016,1.5296316819999998,0.45759303700000004
2017-06,Baltimore/Washington,avocados,hass,last 04 wks,6,2017-06-18,3729111.97,3267631.29,-0.12375082400000001,4715457.41,5485354.08,0.163270835,1.264498746,1.678694318,0.327557124
2017-07,Baltimore/Washington,avocados,hass,last 04 wks,7,2017-07-16,3491057.87,3136114.53,-0.101672144,4701556.51,4788883.73,0.018574108,1.346742645,1.527011748,0.133855643
2017-08,Baltimore/Washington,avocados,hass,last 04 wks,8,2017-08-13,3163139.22,3081050.35,-0.025951709,4820116.4,4490113.71,-0.068463635,1.523839472,1.4573321430000001,-0.043644577000000004
2017-09,Baltimore/Washington,avocados,hass,last 04 wks,9,2017-09-10,3373495.89,3014148.39,-0.106520806,4786570.35,4765131.09,-0.004479044000000001,1.418875406,1.5809212,0.114207205
2017-10,Baltimore/Washington,avocados,hass,last 04 wks,10,2017-10-08,2995641.82,3024911.14,0.009770634,4578654.86,4797552.42,0.047808268,1.52843869,1.586014332,0.037669579
