year_month,date,status,prod_total_volume,region,prod_volume_region
1/1/2018,1/7/2018,actual,45670156,Peru,0
8/1/2019,8/25/2019,actual,48325702,Peru,3745210
5/1/2018,5/27/2018,actual,58216425,Peru,1996296
7/1/2020,7/19/2020,actual,55528282,Peru,16023808
10/1/2019,10/6/2019,actual,48828843,Peru,0
10/1/2020,10/11/2020,actual,56934734,Peru,0
4/1/2018,4/22/2018,actual,66889496,Peru,0
4/1/2018,4/1/2018,actual,39158603,Peru,0
12/1/2018,12/9/2018,actual,55009729,Peru,0
9/1/2018,9/23/2018,actual,49322205,Peru,3892173
12/1/2019,12/8/2019,actual,55662831,Peru,0
11/1/2020,11/8/2020,actual,42783020,Peru,0
7/1/2019,7/28/2019,actual,53521551,Peru,14648985
5/1/2019,5/26/2019,actual,53448347,Peru,6210411
3/1/2019,3/31/2019,actual,57772402,Peru,0
2/1/2019,2/24/2019,actual,60985301,Peru,47407
6/1/2018,6/24/2018,actual,49126245,Peru,7801793
11/1/2020,11/22/2020,projection,38427934,Peru,0
6/1/2018,6/3/2018,actual,54230134,Peru,4571216
8/1/2020,8/9/2020,actual,52326427,Peru,10524513
3/1/2020,3/8/2020,actual,47119478,Peru,0
7/1/2020,7/26/2020,actual,59549678,Peru,12992559
11/1/2020,11/15/2020,actual,56990553,Peru,0
8/1/2019,8/18/2019,actual,49712129,Peru,7300789
7/1/2018,7/1/2018,actual,59868501,Peru,9054874
9/1/2018,9/9/2018,actual,44091358,Peru,9339320
6/1/2020,6/28/2020,actual,67186115,Peru,16687516
10/1/2019,10/13/2019,actual,52027810,Peru,0
8/1/2018,8/5/2018,actual,52948354,Peru,17256410
12/1/2018,12/16/2018,actual,50045775,Peru,0
8/1/2018,8/26/2018,actual,48011570,Peru,12942307
10/1/2020,10/18/2020,actual,55367338,Peru,0
10/1/2019,10/27/2019,actual,48468039,Peru,0
2/1/2019,2/17/2019,actual,52838523,Peru,0
1/1/2018,1/14/2018,actual,52758905,Peru,0
6/1/2019,6/9/2019,actual,44060017,Peru,11330445
6/1/2020,6/21/2020,actual,65624404,Peru,12136375
11/1/2020,11/1/2020,actual,49535249,Peru,0
1/1/2019,1/27/2019,actual,59200492,Peru,0
3/1/2020,3/15/2020,actual,48039847,Peru,50000
12/1/2018,12/2/2018,actual,55202354,Peru,0
9/1/2020,9/6/2020,actual,52693480,Peru,4314102
1/1/2018,1/28/2018,actual,45299201,Peru,0
7/1/2019,7/7/2019,actual,51446909,Peru,17764854
1/1/2019,1/13/2019,actual,73115987,Peru,0
11/1/2019,11/3/2019,actual,53112275,Peru,0
5/1/2020,5/24/2020,actual,51932040,Peru,1943716
11/1/2018,11/4/2018,actual,15760324,Peru,0
9/1/2020,9/20/2020,actual,45986305,Peru,758523
2/1/2020,2/9/2020,actual,29476898,Peru,0
5/1/2019,5/19/2019,actual,50595179,Peru,4408917
8/1/2018,8/19/2018,actual,56452066,Peru,13463791
1/1/2020,1/12/2020,actual,65307572,Peru,0
4/1/2020,4/12/2020,actual,24945091,Peru,142223
12/1/2019,12/29/2019,actual,33408342,Peru,0
10/1/2018,10/14/2018,actual,43609892,Peru,142223
1/1/2020,1/26/2020,actual,66647112,Peru,0
4/1/2020,4/5/2020,actual,24392863,Peru,284446
12/1/2018,12/23/2018,actual,47448337,Peru,0
1/1/2020,1/5/2020,actual,32537444,Peru,0
5/1/2018,5/13/2018,actual,49634250,Peru,142223
3/1/2019,3/10/2019,actual,55687317,Peru,0
10/1/2019,10/20/2019,actual,45213563,Peru,0
3/1/2020,3/22/2020,actual,54765620,Peru,0
8/1/2020,8/2/2020,actual,61589035,Peru,13484651
12/1/2018,12/30/2018,actual,33740596,Peru,0
9/1/2018,9/2/2018,actual,38516499,Peru,12800084
9/1/2018,9/30/2018,actual,39213471,Peru,2417794
1/1/2020,1/19/2020,actual,76375629,Peru,0
2/1/2018,2/11/2018,actual,39307402,Peru,0
6/1/2020,6/7/2020,actual,54322214,Peru,8022343
8/1/2020,8/30/2020,actual,48717827,Peru,5451887
5/1/2020,5/10/2020,actual,68814562,Peru,853338
9/1/2020,9/13/2020,actual,50284383,Peru,2370385
2/1/2018,2/25/2018,actual,53018743,Peru,0
3/1/2020,3/29/2020,actual,36225538,Peru,0
2/1/2020,2/23/2020,actual,60175473,Peru,0
5/1/2019,5/5/2019,actual,37778586,Peru,1469639
1/1/2018,1/21/2018,actual,54698266,Peru,0
9/1/2019,9/15/2019,actual,51760427,Peru,663708
7/1/2020,7/12/2020,actual,52258875,Peru,15360100
12/1/2019,12/1/2019,actual,49266022,Peru,0
1/1/2019,1/6/2019,actual,39644522,Peru,0
4/1/2019,4/7/2019,actual,66309565,Peru,0
1/1/2019,1/20/2019,actual,73262502,Peru,0
12/1/2020,12/6/2020,projection,52612612,Peru,0
3/1/2019,3/17/2019,actual,57661257,Peru,0
6/1/2019,6/23/2019,actual,43112741,Peru,17683079
9/1/2019,9/22/2019,actual,41138734,Peru,94815
5/1/2020,5/17/2020,actual,54720342,Peru,1280008
12/1/2019,12/22/2019,actual,49600528,Peru,0
7/1/2020,7/5/2020,actual,55217288,Peru,16634420
11/1/2019,11/17/2019,actual,41304726,Peru,0
4/1/2020,4/26/2020,actual,70861471,Peru,142223
2/1/2018,2/18/2018,actual,51204346,Peru,0
7/1/2018,7/8/2018,actual,54802659,Peru,9197097
9/1/2020,9/27/2020,actual,56022215,Peru,94815
10/1/2020,10/25/2020,actual,55789244,Peru,0
6/1/2019,6/16/2019,actual,43165973,Peru,13274161
4/1/2018,4/8/2018,actual,57742874,Peru,0
3/1/2020,3/1/2020,actual,56195818,Peru,0
12/1/2020,12/27/2020,projection,38422754,Peru,0
10/1/2018,10/7/2018,actual,44622910,Peru,805931
10/1/2018,10/28/2018,actual,43424770,Peru,0
7/1/2019,7/21/2019,actual,51585051,Peru,14364539
11/1/2019,11/24/2019,actual,39597532,Peru,0
2/1/2020,2/16/2020,actual,50713581,Peru,0
5/1/2018,5/6/2018,actual,43454036,Peru,331854
3/1/2018,3/4/2018,actual,50628975,Peru,0
6/1/2019,6/30/2019,actual,38519597,Peru,16166032
5/1/2020,5/3/2020,actual,57343819,Peru,426669
12/1/2020,12/20/2020,projection,50563073,Peru,0
4/1/2018,4/29/2018,actual,57879711,Peru,0
9/1/2019,9/8/2019,actual,44957024,Peru,1280008
12/1/2020,12/13/2020,projection,49965178,Peru,0
8/1/2018,8/12/2018,actual,56626601,Peru,15170470
2/1/2020,2/2/2020,actual,45414983,Peru,0
11/1/2018,11/18/2018,actual,44931673,Peru,0
9/1/2018,9/16/2018,actual,51398671,Peru,6163003
2/1/2019,2/10/2019,actual,39391270,Peru,0
8/1/2019,8/4/2019,actual,39624707,Peru,11851930
7/1/2018,7/15/2018,actual,52741471,Peru,12041561
4/1/2020,4/19/2020,actual,65731766,Peru,284446
3/1/2018,3/18/2018,actual,51922869,Peru,0
11/1/2020,11/29/2020,projection,46408984,Peru,0
9/1/2019,9/29/2019,actual,56281822,Peru,0
6/1/2019,6/2/2019,actual,48758242,Peru,9955620
8/1/2020,8/16/2020,actual,45333672,Peru,8154127
4/1/2019,4/14/2019,actual,71757754,Peru,0
8/1/2020,8/23/2020,actual,54176904,Peru,6874119
7/1/2019,7/14/2019,actual,54169319,Colombia,0
11/1/2018,11/11/2018,actual,7175415,Colombia,0
4/1/2018,4/15/2018,actual,65017211,Colombia,0
10/1/2018,10/21/2018,actual,41484288,Colombia,0
5/1/2020,5/31/2020,actual,51667453,Colombia,0
11/1/2018,11/25/2018,actual,70104497,Colombia,0
2/1/2018,2/4/2018,actual,47371481,Colombia,0
3/1/2018,3/11/2018,actual,52057338,Colombia,0
3/1/2018,3/25/2018,actual,45807126,Colombia,0
3/1/2019,3/3/2019,actual,56315469,Colombia,0
10/1/2020,10/4/2020,actual,52210342,Colombia,0
12/1/2019,12/15/2019,actual,48427351,Colombia,0
2/1/2019,2/3/2019,actual,45231823,Colombia,0
7/1/2018,7/29/2018,actual,49443206,Colombia,0
5/1/2018,5/20/2018,actual,54804644,Colombia,0
4/1/2019,4/28/2019,actual,43710990,Colombia,0
6/1/2020,6/14/2020,actual,64385710,Colombia,191326
5/1/2019,5/12/2019,actual,45314468,Colombia,0
9/1/2019,9/1/2019,actual,37090495,Colombia,0
3/1/2019,3/24/2019,actual,47860338,Colombia,0
8/1/2019,8/11/2019,actual,30887574,Colombia,0
6/1/2018,6/17/2018,actual,50646896,Colombia,0
7/1/2018,7/22/2018,actual,43482853,Colombia,0
11/1/2019,11/10/2019,actual,43217649,Colombia,0
4/1/2019,4/21/2019,actual,41226066,Colombia,0
6/1/2018,6/10/2018,actual,54216347,Colombia,0
1/1/2018,1/7/2018,actual,45670156,Colombia,0
8/1/2019,8/25/2019,actual,48325702,Colombia,0
5/1/2018,5/27/2018,actual,58216425,Colombia,0
7/1/2020,7/19/2020,actual,55528282,Colombia,191326
10/1/2019,10/6/2019,actual,48828843,Colombia,50000
10/1/2020,10/11/2020,actual,56934734,Colombia,0
4/1/2018,4/22/2018,actual,66889496,Colombia,0
4/1/2018,4/1/2018,actual,39158603,Colombia,0
12/1/2018,12/9/2018,actual,55009729,Colombia,0
9/1/2018,9/23/2018,actual,49322205,Colombia,0
12/1/2019,12/8/2019,actual,55662831,Colombia,0
11/1/2020,11/8/2020,actual,42783020,Colombia,0
7/1/2019,7/28/2019,actual,53521551,Colombia,0
5/1/2019,5/26/2019,actual,53448347,Colombia,0
3/1/2019,3/31/2019,actual,57772402,Colombia,0
2/1/2019,2/24/2019,actual,60985301,Colombia,0
6/1/2018,6/24/2018,actual,49126245,Colombia,0
11/1/2020,11/22/2020,projection,38427934,Colombia,294317
6/1/2018,6/3/2018,actual,54230134,Colombia,0
8/1/2020,8/9/2020,actual,52326427,Colombia,139508
3/1/2020,3/8/2020,actual,47119478,Colombia,0
7/1/2020,7/26/2020,actual,59549678,Colombia,283003
11/1/2020,11/15/2020,actual,56990553,Colombia,0
8/1/2019,8/18/2019,actual,49712129,Colombia,0
7/1/2018,7/1/2018,actual,59868501,Colombia,0
9/1/2018,9/9/2018,actual,44091358,Colombia,0
6/1/2020,6/28/2020,actual,67186115,Colombia,234188
10/1/2019,10/13/2019,actual,52027810,Colombia,0
8/1/2018,8/5/2018,actual,52948354,Colombia,0
12/1/2018,12/16/2018,actual,50045775,Colombia,0
8/1/2018,8/26/2018,actual,48011570,Colombia,0
10/1/2020,10/18/2020,actual,55367338,Colombia,0
10/1/2019,10/27/2019,actual,48468039,Colombia,0
2/1/2019,2/17/2019,actual,52838523,Colombia,0
1/1/2018,1/14/2018,actual,52758905,Colombia,0
6/1/2019,6/9/2019,actual,44060017,Colombia,0
6/1/2020,6/21/2020,actual,65624404,Colombia,187340
11/1/2020,11/1/2020,actual,49535249,Colombia,0
1/1/2019,1/27/2019,actual,59200492,Colombia,0
3/1/2020,3/15/2020,actual,48039847,Colombia,0
12/1/2018,12/2/2018,actual,55202354,Colombia,0
9/1/2020,9/6/2020,actual,52693480,Colombia,0
1/1/2018,1/28/2018,actual,45299201,Colombia,0
7/1/2019,7/7/2019,actual,51446909,Colombia,0
1/1/2019,1/13/2019,actual,73115987,Colombia,0
11/1/2019,11/3/2019,actual,53112275,Colombia,0
5/1/2020,5/24/2020,actual,51932040,Colombia,0
11/1/2018,11/4/2018,actual,15760324,Colombia,0
9/1/2020,9/20/2020,actual,45986305,Colombia,0
2/1/2020,2/9/2020,actual,29476898,Colombia,0
5/1/2019,5/19/2019,actual,50595179,Colombia,0
8/1/2018,8/19/2018,actual,56452066,Colombia,0
1/1/2020,1/12/2020,actual,65307572,Colombia,0
4/1/2020,4/12/2020,actual,24945091,Colombia,0
12/1/2019,12/29/2019,actual,33408342,Colombia,0
10/1/2018,10/14/2018,actual,43609892,Colombia,0
1/1/2020,1/26/2020,actual,66647112,Colombia,50000
4/1/2020,4/5/2020,actual,24392863,Colombia,0
12/1/2018,12/23/2018,actual,47448337,Colombia,0
1/1/2020,1/5/2020,actual,32537444,Colombia,50000
5/1/2018,5/13/2018,actual,49634250,Colombia,0
3/1/2019,3/10/2019,actual,55687317,Colombia,0
10/1/2019,10/20/2019,actual,45213563,Colombia,0
3/1/2020,3/22/2020,actual,54765620,Colombia,0
8/1/2020,8/2/2020,actual,61589035,Colombia,334820
12/1/2018,12/30/2018,actual,33740596,Colombia,0
9/1/2018,9/2/2018,actual,38516499,Colombia,0
9/1/2018,9/30/2018,actual,39213471,Colombia,0
1/1/2020,1/19/2020,actual,76375629,Colombia,50000
2/1/2018,2/11/2018,actual,39307402,Colombia,0
6/1/2020,6/7/2020,actual,54322214,Colombia,95663
8/1/2020,8/30/2020,actual,48717827,Colombia,128368
5/1/2020,5/10/2020,actual,68814562,Colombia,0
9/1/2020,9/13/2020,actual,50284383,Colombia,0
2/1/2018,2/25/2018,actual,53018743,Colombia,0
3/1/2020,3/29/2020,actual,36225538,Colombia,0
2/1/2020,2/23/2020,actual,60175473,Colombia,0
5/1/2019,5/5/2019,actual,37778586,Colombia,0
1/1/2018,1/21/2018,actual,54698266,Colombia,0
9/1/2019,9/15/2019,actual,51760427,Colombia,0
7/1/2020,7/12/2020,actual,52258875,Colombia,234188
12/1/2019,12/1/2019,actual,49266022,Colombia,0
1/1/2019,1/6/2019,actual,39644522,Colombia,0
4/1/2019,4/7/2019,actual,66309565,Colombia,0
1/1/2019,1/20/2019,actual,73262502,Colombia,0
12/1/2020,12/6/2020,projection,52612612,Colombia,347228
3/1/2019,3/17/2019,actual,57661257,Colombia,0
6/1/2019,6/23/2019,actual,43112741,Colombia,0
9/1/2019,9/22/2019,actual,41138734,Colombia,0
5/1/2020,5/17/2020,actual,54720342,Colombia,0
12/1/2019,12/22/2019,actual,49600528,Colombia,0
7/1/2020,7/5/2020,actual,55217288,Colombia,186356
11/1/2019,11/17/2019,actual,41304726,Colombia,0
4/1/2020,4/26/2020,actual,70861471,Colombia,0
2/1/2018,2/18/2018,actual,51204346,Colombia,0
7/1/2018,7/8/2018,actual,54802659,Colombia,0
9/1/2020,9/27/2020,actual,56022215,Colombia,0
10/1/2020,10/25/2020,actual,55789244,Colombia,758279
6/1/2019,6/16/2019,actual,43165973,Colombia,0
4/1/2018,4/8/2018,actual,57742874,Colombia,0
3/1/2020,3/1/2020,actual,56195818,Colombia,0
12/1/2020,12/27/2020,projection,38422754,Colombia,145505
10/1/2018,10/7/2018,actual,44622910,Colombia,0
10/1/2018,10/28/2018,actual,43424770,Colombia,0
7/1/2019,7/21/2019,actual,51585051,Colombia,0
11/1/2019,11/24/2019,actual,39597532,Colombia,0
2/1/2020,2/16/2020,actual,50713581,Colombia,0
5/1/2018,5/6/2018,actual,43454036,Colombia,0
3/1/2018,3/4/2018,actual,50628975,Colombia,0
6/1/2019,6/30/2019,actual,38519597,Colombia,0
5/1/2020,5/3/2020,actual,57343819,Colombia,0
12/1/2020,12/20/2020,projection,50563073,Colombia,244713
4/1/2018,4/29/2018,actual,57879711,Colombia,0
9/1/2019,9/8/2019,actual,44957024,Colombia,0
12/1/2020,12/13/2020,projection,49965178,Colombia,244713
8/1/2018,8/12/2018,actual,56626601,Colombia,0
2/1/2020,2/2/2020,actual,45414983,Colombia,0
11/1/2018,11/18/2018,actual,44931673,Colombia,0
9/1/2018,9/16/2018,actual,51398671,Colombia,0
2/1/2019,2/10/2019,actual,39391270,Colombia,0
8/1/2019,8/4/2019,actual,39624707,Colombia,0
7/1/2018,7/15/2018,actual,52741471,Colombia,0
4/1/2020,4/19/2020,actual,65731766,Colombia,0
3/1/2018,3/18/2018,actual,51922869,Colombia,0
11/1/2020,11/29/2020,projection,46408984,Colombia,347228
9/1/2019,9/29/2019,actual,56281822,Colombia,0
6/1/2019,6/2/2019,actual,48758242,Colombia,0
8/1/2020,8/16/2020,actual,45333672,Colombia,239157
4/1/2019,4/14/2019,actual,71757754,Colombia,0
8/1/2020,8/23/2020,actual,54176904,Colombia,95663
