year_month,geography,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance,prod_total_volume,california,chile,mexico,peru,colombia
2018-01-01,Nashville,1,2018-01-28,913178.57,1140664.65,0.249114563,936578.74,1140348.63,0.217568349,1.025624966,0.999722951,-0.02525486,45299201,2698356,95491,42505354,0,0
2018-01-01,Dallas/FtWorth,1,2018-01-28,5017685.29,5399231.73,0.076040329,3934048.66,4814132.04,0.223709327,0.784036549,0.891632788,0.137233703,45299201,2698356,95491,42505354,0,0
2018-01-01,Miami/FTLauderdale,1,2018-01-28,2267994.24,2878153.81,0.269030476,3171381,3758096.45,0.185003142,1.398319689,1.305731625,-0.066213803,45299201,2698356,95491,42505354,0,0
2018-01-01,SanDiego,1,2018-01-28,2378295.16,1965279.7,-0.173660304,2144700.95,2430301.38,0.133165619,0.901780816,1.236618574,0.371307253,45299201,2698356,95491,42505354,0,0
2018-01-01,Boston,1,2018-01-28,2627079.96,3132006.25,0.192200579,3285585.89,3931595.96,0.196619444,1.250660787,1.255296333,0.003706477,45299201,2698356,95491,42505354,0,0
2018-01-01,California,1,2018-01-28,26587539.99,24643875.85,-0.073104324,25449925.25,29413687.49,0.1557475,0.957212486,1.193549573,0.246901383,45299201,2698356,95491,42505354,0,0
2018-01-01,Syracuse,1,2018-01-28,299073.48,324632.93,0.085462108,393587.7,404341.48,0.027322449,1.316023407,1.245534395,-0.053562126,45299201,2698356,95491,42505354,0,0
2018-01-01,Baltimore/Washington,1,2018-01-28,3580774.31,4030339.16,0.125549619,4719902.49,5218072.49,0.105546672,1.318123423,1.294698109,-0.017771715,45299201,2698356,95491,42505354,0,0
2018-01-01,LosAngeles,1,2018-01-28,12489517.66,10974296.73,-0.121319411,10604633.1,12589608.66,0.187180032,0.849082678,1.147190473,0.351093955,45299201,2698356,95491,42505354,0,0
2018-01-01,SouthCentral,1,2018-01-28,26814872.02,27314501.22,0.018632541,20327229.77,24790104.3,0.219551537,0.758058057,0.90758034,0.197243842,45299201,2698356,95491,42505354,0,0
2018-01-01,NorthernNewEngland,1,2018-01-28,1950032.37,2016254.1,0.033959298,2303031.32,2651882.11,0.151474618,1.181022098,1.315251937,0.113655654,45299201,2698356,95491,42505354,0,0
2018-01-01,Spokane,1,2018-01-28,376668.95,393645.33,0.045069762,422280.67,460957.2,0.091589629,1.121092328,1.170996237,0.044513648,45299201,2698356,95491,42505354,0,0
2018-01-01,StLouis,1,2018-01-28,688841.36,846905.93,0.229464401,863846.52,1049095.06,0.214446126,1.254057277,1.238738593,-0.012215298,45299201,2698356,95491,42505354,0,0
2018-01-01,Denver,1,2018-01-28,3354431.98,3709928.7,0.105978217,3708567.83,4139860.91,0.116296398,1.105572524,1.11588692,0.009329461,45299201,2698356,95491,42505354,0,0
2018-01-01,SouthCarolina,1,2018-01-28,1514217.4,1804801.49,0.191903811,1792522.62,2140809.91,0.194300081,1.183794758,1.186174724,0.002010456,45299201,2698356,95491,42505354,0,0
2018-01-01,GrandRapids,1,2018-01-28,785039.5,865448.39,0.102426553,961592.08,1114655.56,0.159177143,1.224896429,1.287951509,0.051477887,45299201,2698356,95491,42505354,0,0
2018-01-01,LasVegas,1,2018-01-28,1309144.93,1393533.26,0.064460648,1318649.55,1515517,0.149294746,1.007260174,1.087535578,0.079696792,45299201,2698356,95491,42505354,0,0
2018-01-01,West,1,2018-01-28,26899726.77,28617058.77,0.063841987,26791840.44,30362469.6,0.133273008,0.995989315,1.060991971,0.065264411,45299201,2698356,95491,42505354,0,0
2018-01-01,Portland,1,2018-01-28,2479703.41,2484854.14,0.002077156,2866339.29,2982226.88,0.040430521,1.155920211,1.200161745,0.038273864,45299201,2698356,95491,42505354,0,0
2018-01-01,Detroit,1,2018-01-28,1684549.57,1952668.66,0.159163669,1830598.8,2031431.44,0.109708714,1.086699277,1.040335968,-0.042664342,45299201,2698356,95491,42505354,0,0
2018-01-01,GreatLakes,1,2018-01-28,15650916.91,17398324.82,0.111648916,17733337.66,20399196.67,0.150330359,1.133054233,1.172480505,0.034796456,45299201,2698356,95491,42505354,0,0
2018-01-01,Jacksonville,1,2018-01-28,684942.33,809565.78,0.181947362,870160.86,1027724.58,0.181074244,1.270414781,1.269476311,-0.000738711,45299201,2698356,95491,42505354,0,0
2018-02-01,Midsouth,2,2018-02-25,14591656.23,16118825.82,0.104660469,16403800.51,18249956.02,0.112544377,1.124190445,1.132213737,0.007136951,53018743,5031685,0,47987058,0,0
2018-02-01,WestTex/NewMexico,2,2018-02-25,4225596.08,4251933.2,0.006232759,3030891.48,3423725.06,0.129609913,0.717269569,0.805216098,0.122612937,53018743,5031685,0,47987058,0,0
2018-02-01,SanFrancisco,2,2018-02-25,4091142.86,4677350.69,0.143287059,4403952.49,5001671.62,0.135723337,1.076460207,1.069338596,-0.006615768,53018743,5031685,0,47987058,0,0
2018-02-01,Hartford/Springfield,2,2018-02-25,1490223.83,1449728.37,-0.027174079,1879239.63,2123051.9,0.129739851,1.261045215,1.464448061,0.161297028,53018743,5031685,0,47987058,0,0
2018-02-01,West,2,2018-02-25,29194147.95,33154002.75,0.135638649,26950973.46,31001169.01,0.150280121,0.923163557,0.935065646,0.01289272,53018743,5031685,0,47987058,0,0
2018-02-01,Jacksonville,2,2018-02-25,899714.16,988140.7,0.098282926,878416.64,1093433.17,0.244777387,0.976328571,1.106556151,0.133384994,53018743,5031685,0,47987058,0,0
2018-02-01,Seattle,2,2018-02-25,2535384.57,2815535.55,0.110496444,2953146.51,3494627.69,0.183357371,1.164772613,1.24119466,0.06561113,53018743,5031685,0,47987058,0,0
2018-02-01,Northeast,2,2018-02-25,20817016.88,23444337.22,0.126210223,26529576.42,30142989.78,0.136203206,1.274417779,1.285725824,0.008873106,53018743,5031685,0,47987058,0,0
2018-02-01,Indianapolis,2,2018-02-25,863709.21,1007691.6,0.16670239,875397.66,897339.95,0.025065511,1.013532853,0.890490652,-0.121399322,53018743,5031685,0,47987058,0,0
2018-02-01,Cincinnati/Dayton,2,2018-02-25,1177788.55,1234459.48,0.048116387,1211748.52,1079849.38,-0.108850259,1.028833673,0.87475482,-0.149760702,53018743,5031685,0,47987058,0,0
2018-02-01,Southeast,2,2018-02-25,18694159.63,21354894.94,0.142329763,18488898.44,22882382.48,0.237628221,0.989020037,1.071528684,0.083424647,53018743,5031685,0,47987058,0,0
2018-02-01,Raleigh/Greensboro,2,2018-02-25,1419015.81,1579609.46,0.113172559,1614650.85,1840698.27,0.139997709,1.137866709,1.165286937,0.024097926,53018743,5031685,0,47987058,0,0
2018-02-01,Harrisburg/Scranton,2,2018-02-25,1188006.04,1363803.6,0.147976992,1395076.51,1646676.42,0.180348467,1.174300856,1.207414631,0.028198714,53018743,5031685,0,47987058,0,0
2018-02-01,Phoenix/Tucson,2,2018-02-25,5705601.92,6396397.22,0.121073168,3569457.89,4062867.78,0.138231044,0.625605841,0.635180656,0.015304867,53018743,5031685,0,47987058,0,0
2018-02-01,Columbus,2,2018-02-25,859300.63,977313.01,0.137335382,840150.64,868583.58,0.033842669,0.977714447,0.888746564,-0.090995773,53018743,5031685,0,47987058,0,0
2018-02-01,Buffalo/Rochester,2,2018-02-25,590554.07,686299.82,0.162128677,895867.62,873197.13,-0.025305625,1.516995082,1.272326037,-0.161285325,53018743,5031685,0,47987058,0,0
2018-02-01,Boston,2,2018-02-25,2679154.69,2723635.72,0.016602636,3282933.16,3863481.98,0.176838453,1.225361556,1.41850173,0.157618927,53018743,5031685,0,47987058,0,0
2018-02-01,Philadelphia,2,2018-02-25,2182902.44,2524749.06,0.156601877,2798589.81,2945989.74,0.052669359,1.282049879,1.166844573,-0.089860237,53018743,5031685,0,47987058,0,0
