year_month,date,status,prod_total_volume,california,chile,mexico,peru,colombia
2019-03-01,2019-03-10,actual,55687317,563806,224208,54899303,0,0
2019-10-01,2019-10-20,actual,45213563,0,1689204,43524359,0,0
2020-03-01,2020-03-22,actual,54765620,8086208,0,46679412,0,0
2020-08-01,2020-08-02,actual,61589035,9301142,0,38468421,13484651,334820
2018-12-01,2018-12-30,actual,33740596,1800,1856008,31882788,0,0
2018-09-01,2018-09-02,actual,38516499,5955763,1833426,17927226,12800084,0
2018-09-01,2018-09-30,actual,39213471,1962416,5315922,29517339,2417794,0
2020-01-01,2020-01-19,actual,76375629,1604707,222755,74498167,0,50000
2018-02-01,2018-02-11,actual,39307402,3039843,0,36267559,0,0
2020-06-01,2020-06-07,actual,54322214,12247478,0,33956728,8022343,95663
2020-08-01,2020-08-30,actual,48717827,8494500,0,34643071,5451887,128368
2020-05-01,2020-05-10,actual,68814562,17353081,0,50608141,853338,0
2020-09-01,2020-09-13,actual,50284383,5945695,50794,41917507,2370385,0
2018-02-01,2018-02-25,actual,53018743,5031685,0,47987058,0,0
2020-03-01,2020-03-29,actual,36225538,8323661,0,27901876,0,0
2020-02-01,2020-02-23,actual,60175473,6454635,0,53720838,0,0
2019-05-01,2019-05-05,actual,37778586,7274131,0,29034816,1469639,0
2018-01-01,2018-01-21,actual,54698266,2913663,445127,51339476,0,0
2019-09-01,2019-09-15,actual,51760427,934008,2831699,47331012,663708,0
2020-07-01,2020-07-12,actual,52258875,11391217,0,25273369,15360100,234188
2019-12-01,2019-12-01,actual,49266022,0,363868,48902153,0,0
2019-01-01,2019-01-06,actual,39644522,0,1111244,38533278,0,0
2019-04-01,2019-04-07,actual,66309565,7995697,0,58313868,0,0
2019-01-01,2019-01-20,actual,73262502,35452,681725,72545325,0,0
2020-12-01,2020-12-06,projection,52612612,0,176000,52089383,0,347228
2019-03-01,2019-03-17,actual,57661257,1115176,45885,56500196,0,0
2019-06-01,2019-06-23,actual,43112741,12526752,0,12902910,17683079,0
2019-09-01,2019-09-22,actual,41138734,717498,3649980,36676441,94815,0
2020-05-01,2020-05-17,actual,54720342,14715907,0,38724426,1280008,0
2019-12-01,2019-12-22,actual,49600528,0,177780,49422746,0,0
2020-07-01,2020-07-05,actual,55217288,11780040,0,26616471,16634420,186356
2019-11-01,2019-11-17,actual,41304726,0,89949,41214777,0,0
2020-04-01,2020-04-26,actual,70861471,16932573,0,53786674,142223,0
2018-02-01,2018-02-18,actual,51204346,4264449,0,46939897,0,0
2018-07-01,2018-07-08,actual,54802659,11546402,0,34059160,9197097,0
2020-09-01,2020-09-27,actual,56022215,5944327,551263,49431809,94815,0
2020-10-01,2020-10-25,actual,55789244,1974640,131219,52925105,0,758279
2019-06-01,2019-06-16,actual,43165973,10904000,0,18987812,13274161,0
2018-04-01,2018-04-08,actual,57742874,10978270,0,46764604,0,0
2020-03-01,2020-03-01,actual,56195818,9785442,0,46410376,0,0
2020-12-01,2020-12-27,projection,38422754,0,44000,38233248,0,145505
2018-10-01,2018-10-07,actual,44622910,1459548,4141118,38216313,805931,0
2018-10-01,2018-10-28,actual,43424770,332800,2480207,40611763,0,0
2019-07-01,2019-07-21,actual,51585051,9892498,0,27328014,14364539,0
