year_month,date,status,prod_total_volume,location,prod_volume
2020-04-01,2020-04-26,actual,70861471,california,16932573
2018-02-01,2018-02-18,actual,51204346,california,4264449
2018-07-01,2018-07-08,actual,54802659,california,11546402
2020-09-01,2020-09-27,actual,56022215,california,5944327
2020-10-01,2020-10-25,actual,55789244,california,1974640
2019-06-01,2019-06-16,actual,43165973,california,10904000
2018-04-01,2018-04-08,actual,57742874,california,10978270
2020-03-01,2020-03-01,actual,56195818,california,9785442
2020-12-01,2020-12-27,projection,38422754,california,0
2018-10-01,2018-10-07,actual,44622910,california,1459548
2018-10-01,2018-10-28,actual,43424770,california,332800
2019-07-01,2019-07-21,actual,51585051,california,9892498
2019-11-01,2019-11-24,actual,39597532,california,0
2020-02-01,2020-02-16,actual,50713581,california,5257159
2018-05-01,2018-05-06,actual,43454036,california,13377497
2018-03-01,2018-03-04,actual,50628975,california,4863680
2019-06-01,2019-06-30,actual,38519597,california,13700507
2020-05-01,2020-05-03,actual,57343819,california,17453801
2020-12-01,2020-12-20,projection,50563073,california,0
2018-04-01,2018-04-29,actual,57879711,california,16473176
2019-09-01,2019-09-08,actual,44957024,california,1099090
2020-12-01,2020-12-13,projection,49965178,california,0
2018-08-01,2018-08-12,actual,56626601,california,7234836
2020-02-01,2020-02-02,actual,45414983,california,2704489
2018-11-01,2018-11-18,actual,44931673,california,0
2018-09-01,2018-09-16,actual,51398671,california,3782736
2019-02-01,2019-02-10,actual,39391270,california,129957
2019-08-01,2019-08-04,actual,39624707,california,5407640
2018-07-01,2018-07-15,actual,52741471,california,13081786
2020-04-01,2020-04-19,actual,65731766,california,15741055
2018-03-01,2018-03-18,actual,51922869,california,4143387
2020-11-01,2020-11-29,projection,46408984,california,0
2019-09-01,2019-09-29,actual,56281822,california,611955
2019-06-01,2019-06-02,actual,48758242,california,9115908
2020-08-01,2020-08-16,actual,45333672,california,8693483
2019-04-01,2019-04-14,actual,71757754,california,11103220
2020-08-01,2020-08-23,actual,54176904,california,7873941
2019-07-01,2019-07-14,actual,54169319,chile,0
2018-11-01,2018-11-11,actual,7175415,chile,2322562
2018-04-01,2018-04-15,actual,65017211,chile,0
2018-10-01,2018-10-21,actual,41484288,chile,2002066
2020-05-01,2020-05-31,actual,51667453,chile,0
2018-11-01,2018-11-25,actual,70104497,chile,1834643
2018-02-01,2018-02-04,actual,47371481,chile,0
2018-03-01,2018-03-11,actual,52057338,chile,0
2018-03-01,2018-03-25,actual,45807126,chile,0
2019-03-01,2019-03-03,actual,56315469,chile,223611
2020-10-01,2020-10-04,actual,52210342,chile,456910
2019-12-01,2019-12-15,actual,48427351,chile,314608
2019-02-01,2019-02-03,actual,45231823,chile,584756
