,date,avg_price,geography,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
24,2017-01-15,1.45,SouthCarolina,344.06,3697.15,253.5,4430.4,967.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
25,2017-01-22,1.89,Sacramento,1800.88,3930.91,0.0,283.89,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
26,2017-01-22,1.5,Buffalo/Rochester,8.54,139.02,0.0,2440.12,2.71,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
27,2017-01-22,1.52,GrandRapids,65.96,2010.96,0.0,616.67,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
28,2017-01-22,2.44,Hartford/Springfield,101.61,3410.7,9.61,6038.97,22.88,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
29,2017-01-08,1.95,Boston,8.39,1134.04,0.0,15137.23,1275.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
30,2017-01-02,2.06,Boston,14.8,2181.53,0.0,10636.25,605.64,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
31,2017-01-02,1.7,Charlotte,120.83,3134.68,489.12,3126.49,353.95,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
32,2017-01-08,2.15,Sacramento,1630.79,3665.0,0.0,396.46,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
33,2017-01-29,1.08,SouthCentral,35172.06,5405.54,0.0,76958.46,3667.47,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
34,2017-01-02,1.91,NorthernNewEngland,6.23,130.87,0.0,9076.99,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
35,2017-01-22,1.44,SouthCarolina,321.4,3190.68,234.85,3826.57,945.57,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
36,2017-01-15,1.75,GrandRapids,60.33,973.7,0.0,393.33,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
37,2017-01-15,1.39,LasVegas,941.79,2918.63,0.0,5582.41,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
38,2017-01-22,1.32,Seattle,654.95,10318.19,9.24,557.91,28239.89,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
39,2017-01-02,1.07,LosAngeles,15830.84,28951.76,1.56,43159.57,12006.59,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
40,2017-01-15,1.88,Boston,12.3,1315.1,0.0,15554.34,130.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
41,2017-01-15,1.6,Louisville,13.85,1318.58,0.0,626.67,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
42,2017-01-02,1.28,Orlando,558.15,26.59,0.0,2530.0,2572.21,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
43,2017-01-29,2.02,Sacramento,1652.72,4786.42,12.15,296.98,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
44,2017-01-02,1.59,Louisville,5.04,1395.31,0.0,513.34,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
45,2017-01-02,1.44,GreatLakes,4104.86,69800.29,0.0,23593.03,6655.73,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
46,2017-01-29,1.22,Seattle,636.48,10502.66,58.27,1544.23,33002.38,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
47,2017-01-22,1.2,Tampa,252.11,33.77,0.0,4266.66,2387.17,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
48,2017-01-08,1.95,Harrisburg/Scranton,403.32,226.87,8.73,6723.31,4.12,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
49,2017-01-08,1.26,NewOrleans/Mobile,189.58,0.0,0.0,3309.59,1578.8,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
50,2017-01-15,1.06,SouthCentral,22335.2,6350.11,0.0,78546.46,1785.48,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
51,2017-01-15,1.85,Chicago,78.31,34378.08,0.0,4086.11,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
52,2017-01-02,1.92,Baltimore/Washington,1420.47,6298.07,325.44,5857.48,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
53,2017-01-15,1.3,LosAngeles,13881.57,25602.56,3.12,46301.47,1057.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
54,2017-01-22,1.59,Raleigh/Greensboro,224.66,4242.03,477.69,5420.39,465.98,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
55,2017-01-29,1.45,Louisville,0.0,938.08,0.0,193.33,338.51,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
56,2017-01-29,0.99,Portland,3147.45,4138.38,1.63,849.74,27562.9,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
57,2017-01-02,0.99,Portland,4842.14,3008.78,0.0,173.02,23803.56,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
58,2017-01-15,1.25,Jacksonville,338.85,97.16,14.57,1172.22,2995.77,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
59,2017-01-22,0.94,Houston,8152.04,748.06,0.0,26176.05,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
60,2017-01-22,1.16,Roanoke,234.38,2584.95,0.0,2177.11,2529.45,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
61,2017-01-08,2.15,NewYork,6642.33,18205.31,338.5,17103.64,466.02,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
62,2017-01-15,1.45,StLouis,1997.04,657.61,0.0,1305.0,3628.82,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
63,2017-01-22,1.59,Phoenix/Tucson,2433.61,3905.32,0.0,3964.66,29.78,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
64,2017-01-29,1.26,Spokane,71.23,1070.47,0.0,123.23,3041.36,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
65,2017-01-08,1.61,Roanoke,263.74,2764.44,0.0,2213.02,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
66,2017-01-02,1.53,Nashville,210.85,3088.93,0.0,62.22,387.48,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
67,2017-01-22,1.89,NorthernNewEngland,2.54,185.06,0.0,13305.25,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
68,2017-01-22,1.62,Atlanta,1121.56,4738.82,0.0,2.79,1621.82,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
